constant	id	name	wiki_file
DANTAERA	2664	Dantaera	Dantaera chathead.png
ELSTAN	2663	Elstan	Elstan chathead.png
FARMING_GARDENER_BUSH_1	2674	Dreven	Dreven chathead.png
FARMING_GARDENER_BUSH_2	2675	Taria	Taria chathead.png
FARMING_GARDENER_BUSH_3	2676	Rhazien	Rhazien chathead.png
FARMING_GARDENER_BUSH_4	2677	Torrell	Torrell chathead.png
FARMING_GARDENER_CACTUS	310	Ayesha	Ayesha chathead.png
FARMING_GARDENER_CALQUAT	2688	Imiago	Imiago chathead.png
FARMING_GARDENER_CALQUAT_2	14515	Tziuhtla	Tziuhtla chathead.png
FARMING_GARDENER_CALQUAT_3	15064	Guppa	Guppa chathead.png
FARMING_GARDENER_FARMGUILD_CELASTRUS	8629	Taylor	Taylor chathead.png
FARMING_GARDENER_FARMGUILD_REDWOOD	8536	Alexandra	Alexandra chathead.png
FARMING_GARDENER_FARMGUILD_T1	8535	Alan (Farming Guild)	Alan (Farming Guild) chathead.png
FARMING_GARDENER_FARMGUILD_T2	8534	Rosie	Rosie chathead.png
FARMING_GARDENER_FARMGUILD_T3	8533	Nikkie	Nikkie chathead.png
FARMING_GARDENER_FRUIT_1	2682	Bolongo	Bolongo chathead.png
FARMING_GARDENER_FRUIT_2	2683	Gileth	Gileth chathead.png
FARMING_GARDENER_FRUIT_4	2670	Ellena	Ellena chathead.png
FARMING_GARDENER_FRUIT_7	14516	Ehecatl	Ehecatl chathead.png
FARMING_GARDENER_FRUIT_TREE_5	2689	Liliwen	Liliwen chathead.png
FARMING_GARDENER_HARDWOOD_TREE_5	15065	Argo	Argo chathead.png
FARMING_GARDENER_HOPS_1	2671	Selena	Selena chathead.png
FARMING_GARDENER_HOPS_3	2672	Vasquen	Vasquen chathead.png
FARMING_GARDENER_HOPS_4	2673	Rhonen	Rhonen chathead.png
FARMING_GARDENER_HOPS_5	14030	Ercos	Ercos chathead.png
FARMING_GARDENER_SPIRIT_TREE_1	2684	Frizzy Skernip	Frizzy Skernip chathead.png
FARMING_GARDENER_SPIRIT_TREE_2	2685	Yulf Squecks	Yulf Squecks chathead.png
FARMING_GARDENER_SPIRIT_TREE_3	2686	Praistan Ebola	Praistan Ebola chathead.png
FARMING_GARDENER_SPIRIT_TREE_4	6814	Lammy Langle	Lammy Langle chathead.png
FARMING_GARDENER_SPIRIT_TREE_5	8537	Latlink Fastbell	Latlink Fastbell chathead.png
FARMING_GARDENER_TREE_1	2678	Alain	Alain chathead.png
FARMING_GARDENER_TREE_2	2679	Heskel	Heskel chathead.png
FARMING_GARDENER_TREE_3_02	11957	Treznor	Treznor chathead.png
FARMING_GARDENER_TREE_4	2681	Fayeth	Fayeth chathead.png
FARMING_GARDENER_TREE_7	14514	Aub	Aub chathead.png
FARMING_GARDENER_TREE_GNOME	2687	Prissy Scilla	Prissy Scilla chathead.png
FORTIS_GARDENER	12766	Harminia	Harminia chathead.png
FOSSIL_GARDENER_UNDERWATER	7758	Mernia	Mernia chathead.png
FOSSIL_SQUIRREL_GARDENER1	7754	Squirrel (Fossil Island)	Squirrel (Fossil Island, brown) chathead.png
FOSSIL_SQUIRREL_GARDENER2	7755	Squirrel (Fossil Island)	Squirrel (Fossil Island, brown) chathead.png
FOSSIL_SQUIRREL_GARDENER3	7756	Squirrel (Fossil Island)	Squirrel (Fossil Island, brown) chathead.png
FRANCIS	2667	Francis	Francis chathead.png
FROG_QUEST_MARCELLUS	13401	Marcellus	Marcellus chathead.png
GARTH	2669	Garth	Garth chathead.png
HOSIDIUS_ALLOTMENT_GARDENER	6921	Marisi	Marisi chathead.png
KRAGEN	2665	Kragen	Kragen chathead.png
LYRA	2666	Lyra	Lyra chathead.png
PRIF_GARDENER	9138	Oswallt	Oswallt chathead.png
FARMING_GUILD_MASTER	8628	Guildmaster Jane	Guildmaster Jane chathead.png
FARMING_GUILD_MASTER_1OP	8586	Guildmaster Jane	Guildmaster Jane chathead.png
FARMING_GUILD_MASTER_2OP	8587	Guildmaster Jane	Guildmaster Jane chathead.png
